inspection_id,latitude,longitude,census_block
696,38.925525,-76.990439,1006
697,38.925525,-76.990439,1006
698,38.925525,-76.990439,1006
699,38.925525,-76.990439,1006
700,38.925525,-76.990439,1006
701,38.925525,-76.990439,1006
702,38.925525,-76.990439,1006
703,38.926079,-76.996099,1015
704,38.926079,-76.996099,1015
705,38.926204,-76.964119,1007
707,38.91892,-76.968819,1031
708,38.908088,-77.000501,1028
709,38.908088,-77.000501,1028
710,38.908088,-77.000501,1028
711,38.908088,-77.000501,1028
712,38.908088,-77.000501,1028
713,38.908088,-77.000501,1028
714,38.908088,-77.000501,1028
715,38.907795,-77.002016,2002
716,38.907795,-77.002016,2002
717,38.894605,-77.002035,2000
718,38.894605,-77.002035,2000
719,38.93425,-76.965713,3008
720,38.93425,-76.965713,3008
721,38.934097,-76.965824,2001
722,38.934097,-76.965824,2001
723,38.934097,-76.965824,2001
724,38.934596,-76.964837,3008
725,38.894576,-77.001818,2011
726,38.894576,-77.001818,2011
727,38.930377,-76.958242,2000
728,38.930377,-76.958242,2000
729,38.930379,-76.95824,2000
730,38.930379,-76.95824,2000
731,38.930379,-76.95824,2000
732,38.930379,-76.95824,2000
733,38.930379,-76.95824,2000
734,38.930379,-76.95824,2000
735,38.930383,-76.958234,2000
736,38.930383,-76.958234,2000
737,38.894864,-77.001782,2005
738,38.894864,-77.001782,2005
739,38.907758,-77.001742,1028
740,38.907758,-77.001742,1028
741,38.907758,-77.001742,1028
742,38.929051,-76.960709,1005
743,38.929051,-76.960709,1005
744,38.929051,-76.960709,1005
745,38.929051,-76.960709,1005
746,38.91549,-77.001793,2005
747,38.91549,-77.001793,2005
748,38.91549,-77.001793,2005
749,38.893024,-76.947267,2001
750,38.893024,-76.947267,2001
751,38.893024,-76.947267,2001
752,38.893024,-76.947267,2001
753,38.893024,-76.947267,2001
754,38.893024,-76.947267,2001
755,38.893024,-76.947267,2001
756,38.893024,-76.947267,2001
757,38.893024,-76.947267,2001
758,38.893024,-76.947267,2001
759,38.893024,-76.947267,2001
760,38.893024,-76.947267,2001
761,38.893024,-76.947267,2001
762,38.893024,-76.947267,2001
763,38.89454,-77.00175,2011
764,38.89454,-77.00175,2011
765,38.89454,-77.00175,2011
766,38.930567,-76.990843,2017
767,38.942159,-77.000919,3005
768,38.942159,-77.000919,3005
769,38.942159,-77.000919,3005
770,38.942159,-77.000919,3005
771,38.942159,-77.000919,3005
772,38.942159,-77.000919,3005
773,38.942159,-77.000919,3005
774,38.942159,-77.000919,3005
775,38.942159,-77.000919,3005
776,38.942159,-77.000919,3005
777,38.942159,-77.000919,3005
778,38.942159,-77.000919,3005
779,38.942159,-77.000919,3005
780,38.942159,-77.000919,3005
781,38.942159,-77.000919,3005
782,38.942159,-77.000919,3005
783,38.942159,-77.000919,3005
784,38.942159,-77.000919,3005
785,38.942159,-77.000919,3005
786,38.942159,-77.000919,3005
787,38.896445,-76.957331,2003
788,38.896445,-76.957331,2003
789,38.896445,-76.957331,2003
790,38.896445,-76.957331,2003
791,38.907331,-77.008886,2024
792,38.907331,-77.008886,2024
793,38.90804,-77.00026,1025
794,38.932553,-76.991073,2008
795,38.932553,-76.991073,2008
796,38.932553,-76.991073,2008
797,38.932553,-76.991073,2008
798,38.932553,-76.991073,2008
799,38.932553,-76.991073,2008
800,38.932553,-76.991073,2008
801,38.932573,-76.991074,2008
802,38.932573,-76.991074,2008
803,38.932573,-76.991074,2008
804,38.932573,-76.991074,2008
805,38.932573,-76.991074,2008
806,38.932573,-76.991074,2008
807,38.932573,-76.991074,2008
808,38.932573,-76.991074,2008
809,38.932663,-76.99093,2009
810,38.932663,-76.99093,2009
811,38.932663,-76.99093,2009
812,38.932754,-76.991086,2008
813,38.932754,-76.991086,2008
814,38.932754,-76.991086,2008
815,38.932754,-76.991086,2008
816,38.932775,-76.991087,2008
817,38.932775,-76.991087,2008
818,38.932775,-76.991087,2008
819,38.932775,-76.991087,2008
820,38.932775,-76.991087,2008
821,38.889742,-76.955329,1000
822,38.932815,-76.99109,2008
823,38.932815,-76.99109,2008
824,38.932815,-76.99109,2008
825,38.932815,-76.99109,2008
826,38.932815,-76.99109,2008
827,38.918719,-76.9572,1028
828,38.889738,-76.954954,1000
829,38.889738,-76.954954,1000
830,38.889738,-76.954954,1000
831,38.889738,-76.954954,1000
832,38.937245,-76.990608,1012
833,38.937245,-76.990608,1012
834,38.933526,-76.991079,2000
835,38.937245,-76.990608,1012
836,38.933526,-76.991079,2000
837,38.937245,-76.990608,1012
838,38.933526,-76.991079,2000
839,38.933526,-76.991079,2000
840,38.937245,-76.990608,1012
841,38.917788,-76.956111,3029
842,38.934594,-76.991088,1019
843,38.934594,-76.991088,1019
844,38.934594,-76.991088,1019
845,38.934594,-76.991088,1019
846,38.934594,-76.991088,1019
847,38.934594,-76.991088,1019
848,38.934594,-76.991088,1019
849,38.934594,-76.991088,1019
850,38.93463,-76.991092,1019
851,38.93463,-76.991092,1019
852,38.93463,-76.991092,1019
853,38.93463,-76.991092,1019
854,38.93463,-76.991092,1019
855,38.890642,-76.952393,2008
856,38.890874,-76.952346,3005
857,38.890874,-76.952346,3005
858,38.890874,-76.952346,3005
859,38.890874,-76.952346,3005
860,38.891262,-76.952123,3005
861,38.891262,-76.952123,3005
862,38.891262,-76.952123,3005
863,38.891262,-76.952123,3005
864,38.936576,-76.993474,1015
865,38.936576,-76.993474,1015
866,38.936576,-76.993474,1015
867,38.936576,-76.993474,1015
868,38.936576,-76.993474,1015
869,38.892106,-76.951445,3005
870,38.892106,-76.951445,3005
